           ╭------------------------------------╮
      Name | Bolt Rats                          |
           |  ⃠ Ditch Tote Bag                  |
      Card | 7                                  |
Est. Value | 5.416666666666667                  |
     Notes | Metal dealer, but you need lots of |
           |  fabric. Or lots of Metal.         |
      Back | Ugly Sweater Ghost                 |
           ╰------------------------------------╯
           ╭------------------------------------╮
      Name | Oil Nymph                          |
      Size | Big                                |
     Metal | 0                                  |
    Fabric | 0                                  |
       Oil | 5                                  |
        HP | 13                                 |
       ATK | 3                                  |
    Barter | 1:1 Oil:Duct Tape                  |
     Build | Fireball                           |
           | for 1 Fabric, 1 Oil                |
    Battle | 13 HP. 3 ATK.                      |
           |  ⃠ Ditch Fireball                  |
      Card | 1                                  |
Est. Value | 2.5                                |
     Notes | Duct tape dealer, but with oil.    |
      Back | Bolt Rats                          |
           ╰------------------------------------╯
           ╭------------------------------------╮
      Name | Petulant Tig Welder                |
      Size | Big                                |
     Metal | 7                                  |
    Fabric | 1                                  |
       Oil | 1                                  |
        HP | 16                                 |
       ATK | 3                                  |
    Barter | +1 ATK for 4 Metal                 |
     Build | Strong Magnet                      |
           | for 2 Metal                        |
    Battle | 16 HP. 3 ATK.                      |
           |  ⃠ Ditch Strong Magnet             |
      Card | 2                                  |
Est. Value | 2.5833333333333335                 |
     Notes | Attack creature, but now with meta |
           | l.                                 |
      Back | Friendly Can of Lube               |
           ╰------------------------------------╯
           ╭------------------------------------╮
      Name | Major Ductwork                     |
      Size | Big                                |
     Metal | 8                                  |
    Fabric | 5                                  |
       Oil | 3                                  |
        HP | 20                                 |
       ATK | 4                                  |
    Barter | 3:2 Fabric:Duct Tape               |
     Build | Bandages                           |
           | for 1 Fabric, 1 Duct Tape          |
    Battle | 20 HP. 4 ATK.                      |
      Card | 4                                  |
Est. Value | 5.166666666666667                  |
     Notes | Duct tape dealer, repeatable but n |
           | ot quite as good. Tons of goods.   |
      Back | Minor Ductwork                     |
           ╰------------------------------------╯
           ╭------------------------------------╮
      Name | Jacket Wraith                      |
      Size | Big                                |
     Metal | 6                                  |
    Fabric | 6                                  |
       Oil | 2                                  |
        HP | 17                                 |
       ATK | 4                                  |
    Barter | 2:3 Metal:Fabric                   |
     Build | 1/2 Tote Bags                      |
           | for 2/4 Fabric                     |
    Battle | 17 HP. 4 ATK.                      |
      Card | 3                                  |
Est. Value | 4.5                                |
     Notes | Fabric dealer. Tote bags. (Better  |
           | version of Curtain Ghost)          |
      Back | Socket Wrench Puppy                |
           ╰------------------------------------╯
           ╭------------------------------------╮
      Name | The Crusher                        |
      Size | Big                                |
     Metal | 8                                  |
    Fabric | 4                                  |
       Oil | 4                                  |
        HP | 20                                 |
       ATK | 4                                  |
    Barter | +2 Duct Tape for Disassembling 1 T |
           | ool                                |
     Build | Whacking Plank                     |
           | for 2 Metal, 1 Fabric              |
    Battle | 20 HP. 4 ATK.                      |
           | Creature has 15 HP if you have Str |
           | ong Magnet                         |
      Card | 5                                  |
Est. Value | 5.333333333333333                  |
     Notes | Tool check, instead of general sto |
           | re. Requires duct tape or tool to  |
           | pass!!                             |
      Back | Rusted-out Toolbox                 |
           ╰------------------------------------╯
           ╭------------------------------------╮
      Name | Tap Spider                         |
      Size | Big                                |
     Metal | 5                                  |
    Fabric | 1                                  |
       Oil | 1                                  |
        HP | 11                                 |
       ATK | 4                                  |
    Barter | +1 ATK for -1 Carry                |
     Build | Oil Rag                            |
           | for 3 Fabric                       |
    Battle | 11 HP. 4 ATK                       |
           | ⃠ Ditch Whacking Plank             |
      Card | 6                                  |
Est. Value | 2.083333333333333                  |
     Notes | Oil to both Metal and Fabric       |
      Back | Tetanus Worms                      |
           ╰------------------------------------╯
